id	file	mimetype	name	researchPhase	documentType	article	location	locationgeo	date																		
descr	file location	nom qui apparaît sur le site	indicates what the website shall do with the file [tei	 pdf	 htm	 csv	 link	 ref]	[prep	 col	 anal	 ese	 compl]	[admi	 audio	 docu	 icono	 inter	 methodo	 note	 publi	 revis	 transcr]			coordonnées GPS	DD/MM/YY
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal01_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal01_vi.xml	tei	Transcription de l'entretien avec Pierre Albertini	col	transcr	entretienindiv	Paris France	48.862266,2.318789	2002-03-06																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal02_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal02_vi.xml	tei	Transcription de l'entretien avec René André	col	transcr	entretienindiv	Paris France	48.862267,2.31879	2002-11-27																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal03_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal03_vi.xml	tei	Transcription de l'entretien avec Marie-Hélène Aubert	col	transcr	entretienindiv	Paris France	48.862268,2.318791	2002-01-24																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal04_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal04_vi.xml	tei	Transcription de l'entretien avec Alain Barrau	col	transcr	entretienindiv	Paris France	48.862269,2.318792	2003-06-30																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal05_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal05_vi.xml	tei	Transcription de l'entretien avec Christian Bataille	col	transcr	entretienindiv	Paris France	48.86227,2.318793	2001-12-05																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal06_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal06_vi.xml	tei	Transcription de l'entretien avec Jean-Marie Bockel	col	transcr	entretienindiv	Paris France	48.862271,2.318794	2002-01-30																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal07_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal07_vi.xml	tei	Transcription de l'entretien avec Didier Boulaud	col	transcr	entretienindiv	Paris France	48.862272,2.318795	2000-04-26																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal08_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal08_vi.xml	tei	Transcription de l'entretien avec Jean-Pierre Brard	col	transcr	entretienindiv	Paris France	48.862273,2.318796	2002-10-25																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal09_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal09_vi.xml	tei	Transcription de l'entretien avec Jean-Christophe Cambadélis	col	transcr	entretienindiv	Paris France	48.862274,2.318797	2002-12-02																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal10_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal10_vi.xml	tei	Transcription de l'entretien avec Nicole Catala	col	transcr	entretienindiv	Paris France	48.862275,2.318798	2001-11-20																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal11_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal11_vi.xml	tei	Transcription de l'entretien avec Gérard Charasse	col	transcr	entretienindiv	Paris France	48.862276,2.318799	2001-12-12																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal12_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal12_vi.xml	tei	Transcription de l'entretien avec Charles de Courson	col	transcr	entretienindiv	Paris France	48.862277,2.3188	2001-04-09																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal13_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal13_vi.xml	tei	Transcription de l'entretien avec Jean-Claude Daniel	col	transcr	entretienindiv	Paris France	48.862278,2.318801	2001-01-29																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal14_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal14_vi.xml	tei	Transcription de l'entretien avec Yves Dauge	col	transcr	entretienindiv	Paris France	48.862279,2.318802	2002-03-06																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal15_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal15_vi.xml	tei	Transcription de l'entretien avec Bernard Derosier	col	transcr	entretienindiv	Paris France	48.86228,2.318803	2001-11-06																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal16_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal16_vi.xml	tei	Transcription de l'entretien avec Laurence Dumont	col	transcr	entretienindiv	Paris France	48.862281,2.318804	2001-12-12																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal17_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal17_vi.xml	tei	Transcription de l'entretien avec Gérard Fuchs	col	transcr	entretienindiv	Paris France	48.862282,2.318805	2002-12-09																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal18_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal18_vi.xml	tei	Transcription de l'entretien avec Jean Le Garrec	col	transcr	entretienindiv	Paris France	48.862283,2.318806	2002-11-19																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal19_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal19_vi.xml	tei	Transcription de l'entretien avec Jacques Godfrain	col	transcr	entretienindiv	Paris France	48.862284,2.318807	2001-10-24																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal20_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal20_vi.xml	tei	Transcription de l'entretien avec Gaétan Gorce	col	transcr	entretienindiv	Paris France	48.862285,2.318808	2003-03-12																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal21_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal21_vi.xml	tei	Transcription de l'entretien avec Jean-Jacques Guillet	col	transcr	entretienindiv	Paris France	48.862286,2.318809	2001-10-24																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal22_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal22_vi.xml	tei	Transcription de l'entretien avec Michel Hunault	col	transcr	entretienindiv	Paris France	48.862287,2.31881	2002-10-22																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal23_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal23_vi.xml	tei	Transcription de l'entretien avec André Lajoinie	col	transcr	entretienindiv	Paris France	48.862288,2.318811	1999-07-08																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal24_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal24_vi.xml	tei	Transcription de l'entretien avec Jean-Claude Lefort	col	transcr	entretienindiv	Paris France	48.862289,2.318812	2000-06-13																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal25_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal25_vi.xml	tei	Transcription de l'entretien avec Pierre Lellouche	col	transcr	entretienindiv	Paris France	48.86229,2.318813	2002-10-04																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal26_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal26_vi.xml	tei	Transcription de l'entretien avec Pierre Lequiller	col	transcr	entretienindiv	Paris France	48.862291,2.318814	2003-03-13																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal27_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal27_vi.xml	tei	Transcription de l'entretien avec Maurice Ligot	col	transcr	entretienindiv	Paris France	48.862292,2.318815	1999-07-06																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal28_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal28_vi.xml	tei	Transcription de l'entretien avec François Loncle	col	transcr	entretienindiv	Paris France	48.862293,2.318816	2002-10-15																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal29_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal29_vi.xml	tei	Transcription de l'entretien avec Thierry Mariani	col	transcr	entretienindiv	Paris France	48.862294,2.318817	2002-11-06																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal30_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal30_vi.xml	tei	Transcription de l'entretien avec Alain Marleix	col	transcr	entretienindiv	Paris France	48.862295,2.318818	2002-12-16																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal31_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal31_vi.xml	tei	Transcription de l'entretien avec Jacques Myard	col	transcr	entretienindiv	Paris France	48.862296,2.318819	2001-11-21																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal32_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal32_vi.xml	tei	Transcription de l'entretien avec Henri Nallet	col	transcr	entretienindiv	Paris France	48.862297,2.31882	2002-10-21																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal33_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal33_vi.xml	tei	Transcription de l'entretien avec Robert Pandraud	col	transcr	entretienindiv	Paris France	48.862298,2.318821	2002-01-11																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal34_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal34_vi.xml	tei	Transcription de l'entretien avec Daniel Paul	col	transcr	entretienindiv	Paris France	48.862299,2.318822	2002-02-06																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal35_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal35_vi.xml	tei	Transcription de l'entretien avec Vincent Peillon	col	transcr	entretienindiv	Paris France	48.8623,2.318823	2002-09-10																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal36_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal36_vi.xml	tei	Transcription de l'entretien avec Christian Philip	col	transcr	entretienindiv	Paris France	48.862301,2.318824	2003-09-24																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal37_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal37_vi.xml	tei	Transcription de l'entretien avec Étienne Pinte	col	transcr	entretienindiv	Paris France	48.862302,2.318825	2001-12-05																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal38_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal38_vi.xml	tei	Transcription de l'entretien avec Paul Quilès	col	transcr	entretienindiv	Paris France	48.862303,2.318826	2003-03-19																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal39_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal39_vi.xml	tei	Transcription de l'entretien avec Jean-Bernard Raimond	col	transcr	entretienindiv	Paris France	48.862304,2.318827	2001-12-04																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal40_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal40_vi.xml	tei	Transcription de l'entretien avec Yvette Roudy	col	transcr	entretienindiv	Paris France	48.862305,2.318828	2002-02-07																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal41_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal41_vi.xml	tei	Transcription de l'entretien avec Jean-Claude Sandrier	col	transcr	entretienindiv	Paris France	48.862306,2.318829	2003-02-04																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal42_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal42_vi.xml	tei	Transcription de l'entretien avec Henri Sicre	col	transcr	entretienindiv	Paris France	48.862307,2.31883	2002-02-13																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal71_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal71_vi.xml	tei	Transcription de l'entretien avec Denis Badré	col	transcr	entretienindiv	Paris France	48.849291,2.33734	2001-12-18																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal72_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal72_vi.xml	tei	Transcription de l'entretien avec Robert Del Picchia	col	transcr	entretienindiv	Paris France	48.849292,2.33735	2001-10-30																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal73_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal73_vi.xml	tei	Transcription de l'entretien avec Hubert Durand-Chastel	col	transcr	entretienindiv	Paris France	48.849293,2.33736	2001-11-26																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal74_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal74_vi.xml	tei	Transcription de l'entretien avec Pierre Fauchon	col	transcr	entretienindiv	Paris France	48.849294,2.33737	2000-05-02																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal75_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal75_vi.xml	tei	Transcription de l'entretien avec Jean François-Poncet	col	transcr	entretienindiv	Paris France	48.849295,2.33738	2002-03-20																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal76_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal76_vi.xml	tei	Transcription de l'entretien avec Yann Gaillard	col	transcr	entretienindiv	Paris France	48.849296,2.33739	2001-11-14																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal77_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal77_vi.xml	tei	Transcription de l'entretien avec Daniel Hoeffel	col	transcr	entretienindiv	Paris France	48.849297,2.3374	2002-03-05																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal78_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal78_vi.xml	tei	Transcription de l'entretien avec Lucien Lanier	col	transcr	entretienindiv	Paris France	48.849298,2.33741	2000-05-10																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal79_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal79_vi.xml	tei	Transcription de l'entretien avec Christian de La Malène	col	transcr	entretienindiv	Paris France	48.849298,2.33741	2001-12-04																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal80_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal80_vi.xml	tei	Transcription de l'entretien avec Aymeri de Montesquiou	col	transcr	entretienindiv	Paris France	48.849298,2.33741	2000-04-12																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal81_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal81_vi.xml	tei	Transcription de l'entretien avec Claude Saunier	col	transcr	entretienindiv	Paris France	48.849298,2.33741	2001-11-28																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal82_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal82_vi.xml	tei	Transcription de l'entretien avec Jean-Marie Valerenberghe	col	transcr	entretienindiv	Paris France	48.849298,2.33741	2003-03-04																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal83_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal83_vi.xml	tei	Transcription de l'entretien avec Xavier de Villepin	col	transcr	entretienindiv	Paris France	48.849298,2.33741	2002-11-15																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_ministre_paraverbal89_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_ministre_paraverbal89_vi.xml	tei	Transcription de l'entretien avec Elisabeth Guigou	col	transcr	entretienindiv	Paris France	48.854946,2.320334	2003-02-26																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_ministre_paraverbal90_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_ministre_paraverbal90_vi.xml	tei	Transcription de l'entretien avec Paulette Guinchard-Kunstler	col	transcr	entretienindiv	Paris France	48.854947,2.320335	2002-11-20																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_ministre_paraverbal91_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_ministre_paraverbal91_vi.xml	tei	Transcription de l'entretien avec François Huwart	col	transcr	entretienindiv	Paris France	48.854948,2.320336	2003-04-22																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_ministre_paraverbal92_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_ministre_paraverbal92_vi.xml	tei	Transcription de l'entretien avec Pierre Moscovici	col	transcr	entretienindiv	Paris France	48.854949,2.320337	2003-01-06																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_ministre_paraverbal93_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_ministre_paraverbal93_vi.xml	tei	Transcription de l'entretien avec Christian Paul	col	transcr	entretienindiv	Paris France	48.85495,2.320338	2003-02-03																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_ministre_paraverbal94_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_ministre_paraverbal94_vi.xml	tei	Transcription de l'entretien avec Christian Pierret	col	transcr	entretienindiv	Paris France	48.854951,2.320339	2003-03-25																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_ministre_paraverbal95_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_ministre_paraverbal95_vi.xml	tei	Transcription de l'entretien avec Jean-Jack Queyranne	col	transcr	entretienindiv	Paris France	48.854952,2.32034	2002-11-05																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputeeu_paraverbal111_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputeeu_paraverbal111_vi.xml	tei	Transcription de l'entretien avec Pervenche Berès	col	transcr	entretienindiv	Strasbourg France	48.597699,7.768661	2002-02-25																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputeeu_paraverbal112_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputeeu_paraverbal112_vi.xml	tei	Transcription de l'entretien avec Jean-Louis Bourlanges	col	transcr	entretienindiv	Strasbourg France	48.597699,7.768661	2002-04-05																		
